Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D4, D5, D6, D7, D8, D9",D_SOD-123,29,1N4148W,
J1,MJ-4PP-9,1,MJ-4PP-9,
"SW1, SW11, SW12, SW13, SW14, SW16, SW17, SW18, SW19, SW21, SW22, SW23, SW24, SW26, SW27, SW28, SW29, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_MX_1.00u,21,SW_Push,
"SW10, SW15, SW20, SW5",SW_Hotswap_Kailh_MX_1.25u,4,SW_Push,
SW2,SW_Hotswap_Kailh_MX_1.50u,1,SW_Push,
SW25,SW_Hotswap_Kailh_MX_2.25u,1,SW_Push,
SW3,SW_Hotswap_Kailh_MX_1.75u,1,SW_Push,
SW4,SW_Hotswap_Kailh_MX_2.00u,1,SW_Push,
U1,rp2040-zero-tht,1,rp2040-zero,
